symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev,gap_days,persistence
ASST,2024-07-02,1,5,0.2,0.198758,3.11,0.49,0.006231,1,persistent
ASST,2026-02-06,1,21,0.047619,0.048283,0.4338,0.1287,0.013842,1,persistent
ASTC,2022-12-05,1,30,0.033333,0.033123,0.86,0.175,0.006342,3,persistent
ASTR,2023-09-14,1,14,0.071429,0.07103,2.668,0.3915,0.005595,1,persistent
ASTSW,2022-11-21,10,7,1.428571,1.428571,1.0676,0.7117,0.0,7,persistent
ASTSW,2023-03-31,19,13,1.461538,1.462069,0.8589,1.0225,0.000363,1,persistent
ASYS,2026-02-06,10,7,1.428571,1.427289,1.9776,1.5171,0.000898,1,persistent
ASZ WS,2022-07-01,32,65,0.492308,0.49,4.6651,0.6806,0.004699,1,bad-open-print
ATAQ WS,2022-05-10,7,10,0.7,0.707201,0.4991,0.8712,0.010235,1,bad-open-print
ATAX,2022-04-05,1,3,0.333333,0.333333,0.4,0.5369,0.0,5,persistent
ATCH,2025-01-02,1,70,0.014286,0.013982,0.6375,0.3769,0.021457,2,persistent
ATER,2024-03-22,2,21,0.095238,0.095594,0.105,0.1031,0.003734,1,persistent
ATGL,2024-02-21,12,7,1.714286,1.717014,1.0,1.0,0.00159,1,persistent
ATHA,2025-09-19,3,31,0.096774,0.098067,0.9444,0.8796,0.013271,3,persistent
ATHX,2022-08-29,1,25,0.04,0.040183,0.1643,0.0792,0.004577,3,persistent
ATIF,2022-09-15,20,11,1.818182,1.820106,1.0,2.0,0.001058,190,persistent
ATIIW,2025-09-18,3,2,1.5,1.507246,1.5,1.5,0.004819,87,persistent
ATIP,2023-06-15,1,40,0.025,0.023163,0.2755,0.1698,0.076329,1,persistent
ATNF,2024-02-28,2,35,0.057143,0.056533,0.7308,0.4103,0.010724,1,persistent
ATNFW,2022-04-28,7,5,1.4,1.398637,1.0,1.0,0.000974,15,persistent
ATNX,2023-02-15,1,19,0.052632,0.051652,0.0268,0.0185,0.018789,1,persistent
ATOS,2026-02-02,1,13,0.076923,0.076833,0.6218,0.1182,0.001175,3,persistent
ATPC,2025-12-10,25,6,4.166667,4.165391,97.2364,195.8848,0.000306,1,persistent
ATRA,2024-06-20,1,24,0.041667,0.040839,0.1728,0.1537,0.020076,2,persistent
ATXG,2026-03-30,1,14,0.071429,0.071884,1.0745,0.0239,0.006352,3,persistent
ATXI,2024-04-26,1,65,0.015385,0.015058,0.3005,0.4305,0.021464,1,persistent
AUID,2022-11-14,7,5,1.4,1.396793,1.4286,2.1143,0.002294,17,persistent
AUID,2023-07-10,1,9,0.111111,0.110626,0.5738,0.8197,0.004376,3,persistent
AUMN,2023-06-09,1,23,0.043478,0.044115,0.1089,0.0361,0.014544,1,persistent
AURE,2026-02-20,3,25,0.12,0.119462,0.0927,0.1305,0.00449,2,persistent
AUROW,2023-09-06,13,20,0.65,0.649123,0.7143,0.5714,0.00135,76,persistent
AUROW,2024-05-20,29,18,1.611111,1.609848,0.9975,1.995,0.000784,131,persistent
AUROW,2025-03-14,28,17,1.647059,1.654412,1.5,1.0,0.004454,29,persistent
AURU,2026-01-12,7,10,0.7,0.716853,0.8333,0.8333,0.02379,7,persistent
AUUD,2023-10-25,27,19,1.421053,1.42,1.0,1.02,0.000741,8,persistent
AUUD,2025-03-31,1,17,0.058824,0.058957,0.0011,0.1262,0.00227,3,persistent
AUUD,2026-04-01,3,22,0.136364,0.136135,0.4661,0.2547,0.001676,1,persistent
AUUDW,2023-04-18,20,13,1.538462,1.539559,2.0,1.0,0.000713,144,persistent
AUVI,2023-06-02,6,31,0.193548,0.195652,1.3158,0.2763,0.010811,3,persistent
AVACW,2022-06-03,19,10,1.9,1.899,1.0,1.6,0.000526,22,persistent
AVCO,2022-09-06,7,5,1.4,1.402867,1.4718,1.4085,0.002046,20,persistent
AVCT,2022-10-03,2,31,0.064516,0.064646,0.092,0.0482,0.002018,3,persistent
AVGO,2024-07-15,10,1,10.0,9.972128,4.4884,5.4271,0.002791,3,persistent
AVGR,2022-03-15,1,20,0.05,0.050978,1.0691,0.2415,0.019364,1,persistent
AVHIW,2022-06-17,11,7,1.571429,1.570714,1.0,1.0,0.000455,36,persistent
AVTE,2024-06-17,10,1,10.0,9.919679,32.9414,5.2895,0.008065,3,persistent
AVTX,2022-07-08,3,35,0.085714,0.084646,0.4116,0.0548,0.012546,1,persistent
AVTX,2023-06-26,11,2,5.5,5.458652,770.8772,66.5146,0.007546,3,persistent
AVXX,2026-03-23,23,70,0.328571,0.328811,0.1272,0.022,0.000728,3,persistent
AWH,2023-05-12,2,25,0.08,0.08012,0.6612,0.3306,0.0015,1,persistent
AWP,2026-02-09,27,80,0.3375,0.337059,0.4401,0.7163,0.001307,3,persistent
AXDX,2023-07-12,3,31,0.096774,0.09715,0.8294,0.1101,0.003878,1,persistent
AXLA,2022-01-21,24,17,1.411765,1.410959,1.48,0.6667,0.000571,14,persistent
AXLA,2023-09-19,1,24,0.041667,0.041638,0.0503,0.0195,0.000694,1,persistent
AXTU,2026-08-24,8,65,0.123077,0.121683,0.0986,0.0884,0.011389,3,persistent
AXUP,2026-02-05,17,11,1.545455,1.544753,1.16,1.0,0.000454,7,persistent
AYLA,2022-06-29,28,15,1.866667,1.862745,1.0,1.0,0.002103,22,persistent
AYRO,2025-06-26,2,35,0.057143,0.05769,0.0121,0.0694,0.009522,1,persistent
AYTU,2023-01-06,2,35,0.057143,0.056636,0.678,0.5454,0.008914,1,persistent
AZI,2026-03-23,3,29,0.103448,0.102039,0.9447,0.0248,0.013718,3,persistent
AZRX,2021-09-13,3,29,0.103448,0.103636,0.3998,0.5186,0.001817,3,persistent
AZUL,2026-06-02,1,18,0.055556,0.055617,0.0003,0.002,0.001112,371,persistent
BACK,2023-09-08,1,25,0.04,0.040235,0.0745,0.0159,0.005865,1,persistent
BAGY,2025-12-24,3,2,1.5,1.496544,1.0,1.64,0.002306,91,persistent
BAIG,2026-05-05,1,10,0.1,0.098585,0.0139,0.0023,0.014254,1,persistent
BANL,2026-07-20,3,35,0.085714,0.085582,1.804,0.142,0.001548,4,persistent
BAOS,2022-05-25,23,64,0.359375,0.359528,0.1826,0.4935,0.000426,5,persistent
BAOS,2025-06-04,27,64,0.421875,0.421986,213.1652,0.8711,0.000263,1,persistent
BARK,2026-04-01,1,20,0.05,0.049328,0.1162,0.1008,0.013528,1,persistent
BBBY,2023-04-24,14,9,1.555556,1.554555,2.3795,1.3318,0.000643,3,persistent
BBGI,2024-09-25,1,20,0.05,0.050404,0.01,0.14,0.008048,15,persistent
BBIG,2023-05-11,1,18,0.055556,0.055098,0.2607,0.0382,0.008276,1,persistent
BBLG,2023-06-07,2,65,0.030769,0.030663,0.673,0.799,0.003473,1,persistent
BBLGW,2024-01-03,9,22,0.409091,0.410256,1.0,0.15,0.002845,15,persistent
BBLGW,2024-04-12,9,40,0.225,0.224654,0.15,0.24,0.001537,100,persistent
BBLGW,2025-01-17,11,27,0.407407,0.407625,0.0133,0.2133,0.000533,51,persistent
BBLGW,2025-03-03,31,2,15.5,15.273312,0.129,3.2258,0.014733,21,persistent
BBLN,2022-12-16,3,65,0.046154,0.046,2.471,0.1258,0.003339,1,persistent
BCAB,2026-04-06,1,50,0.02,0.021491,0.2113,0.1118,0.071899,4,persistent
BCARW,2025-10-14,32,65,0.492308,0.492866,0.087,0.2174,0.001134,50,persistent
BCDAW,2022-01-28,31,16,1.9375,1.937397,2.8,1.0,5.3e-05,24,persistent
BCLI,2024-10-01,7,100,0.07,0.07064,0.7237,0.2352,0.009095,1,persistent
BCTX,2025-08-25,9,80,0.1125,0.113095,0.1784,0.2934,0.005274,3,persistent
BDRX,2024-10-16,11,28,0.392857,0.392709,131.4145,0.5181,0.000377,7,bad-open-print
BDRX,2025-07-31,11,100,0.11,0.110192,0.2306,0.0976,0.001744,1,persistent
BDSX,2023-08-02,17,25,0.68,0.679739,0.4938,0.9877,0.000385,6,persistent
BDSX,2025-09-15,1,20,0.05,0.051022,0.0123,0.0928,0.020224,3,persistent
BEATW,2022-06-17,13,22,0.590909,0.590423,0.2857,0.7143,0.000823,24,persistent
BEATW,2022-11-21,16,23,0.695652,0.694444,1.0,0.4,0.001738,20,persistent
BEDU,2022-08-19,18,65,0.276923,0.276527,0.4431,0.1394,0.00143,1,persistent
BEEMW,2022-04-01,23,40,0.575,0.573298,0.4,0.3333,0.002964,11,persistent
BEEMW,2023-04-11,28,17,1.647059,1.65529,1.0,2.01,0.004985,13,persistent
BEEMW,2023-05-11,13,19,0.684211,0.683473,0.7018,0.7018,0.001078,14,persistent
BEG,2026-02-11,3,2,1.5,1.499672,1.3727,1.37,0.000219,14,persistent
BEGS,2025-12-19,32,21,1.52381,1.514412,1.7903,1.6129,0.006186,7,persistent
BENF,2025-12-15,3,25,0.12,0.12012,0.5538,0.3835,0.001,3,persistent
BERZ,2022-03-21,16,11,1.454545,1.457273,0.864,0.8,0.001873,6,persistent
BERZ,2024-03-25,3,31,0.096774,0.097892,0.0168,0.0063,0.01148,3,persistent
BERZ,2026-02-24,1,19,0.052632,0.052285,0.0171,0.0048,0.006614,1,persistent
BESS WS,2026-05-22,3,7,0.428571,0.428571,0.0131,0.0262,0.0,9,persistent
BEST,2022-05-20,6,31,0.193548,0.195804,1.8812,0.5579,0.011588,1,persistent
BEST,2023-04-04,7,26,0.269231,0.268731,0.2718,0.218,0.001857,1,persistent
BETR,2024-08-19,1,50,0.02,0.020989,0.1405,0.0986,0.048264,3,persistent
BETRW,2025-09-23,32,65,0.492308,0.491228,0.44,0.0808,0.002195,1,persistent
BEZ,2026-06-03,3,32,0.09375,0.093279,0.0011,0.0039,0.005034,1,persistent
BFI,2024-08-20,7,5,1.4,1.400435,0.935,1.1394,0.000311,1,persistent
BFRI,2023-07-05,2,35,0.057143,0.05644,6.4965,0.766,0.012379,2,persistent
BFRIW,2021-12-10,20,29,0.689655,0.690217,0.7705,0.7464,0.000815,1,persistent
BFRIW,2022-04-13,19,32,0.59375,0.59596,0.4886,0.3152,0.003715,6,bad-open-print
BFRIW,2023-04-10,9,22,0.409091,0.408893,0.431,0.5648,0.000484,7,bad-open-print
BGI,2025-04-17,29,20,1.45,1.450999,1.6807,0.8403,0.000689,14,persistent
BGIO,2021-11-12,29,16,1.8125,1.80695,1.3113,0.9836,0.003067,1,persistent
BGLWW,2025-08-06,31,20,1.55,1.551782,0.8,0.8,0.001149,5,bad-open-print
BGLWW,2025-08-20,3,2,1.5,1.50587,0.8,1.0,0.003906,9,persistent
BGRYW,2022-04-21,21,13,1.615385,1.619063,0.8,1.2,0.002274,22,persistent
BGRYW,2022-05-16,20,13,1.538462,1.541872,1.2,1.2,0.002214,3,persistent
BHAT,2024-09-05,31,18,1.722222,1.722222,2.5575,2.046,0.0,8,persistent
BHG,2023-05-22,1,65,0.015385,0.015365,0.1814,0.0826,0.00129,3,persistent
BHIL,2024-07-19,2,65,0.030769,0.030667,0.1443,0.0566,0.003339,1,persistent
BHVN,2022-10-04,64,3,21.333333,21.171548,5.0017,1.0188,0.007613,1,persistent
BIAF,2025-09-19,1,28,0.035714,0.036369,0.4554,0.1808,0.01818,1,persistent
BIAF,2026-08-24,1,15,0.066667,0.066012,2.1395,0.1932,0.009872,3,persistent
BIAFW,2023-07-21,9,22,0.409091,0.409091,2.9851,0.995,0.0,14,persistent
BIAFW,2023-07-31,31,21,1.47619,1.477273,0.995,0.995,0.000733,10,persistent
BIAFW,2024-03-04,29,17,1.705882,1.706452,1.99,0.995,0.000334,216,persistent
BIMI,2022-02-03,2,9,0.222222,0.222282,3.3477,0.7115,0.000268,1,persistent
BIMI,2022-12-12,3,29,0.103448,0.102673,0.876,0.1459,0.00752,3,persistent
BIMI,2023-07-05,21,31,0.677419,0.676647,0.3505,0.5205,0.001141,19,persistent
BIMI,2024-07-30,9,2,4.5,4.518389,2.9631,3.4769,0.004078,5,persistent
BIOL,2022-04-29,1,22,0.045455,0.045786,0.4288,0.3491,0.007274,1,persistent
BIOR,2023-01-03,3,70,0.042857,0.043153,0.1211,0.2149,0.006877,4,persistent
BIOR,2024-10-18,2,17,0.117647,0.117437,0.3228,0.1127,0.001787,1,persistent
BIPC,2022-06-13,32,21,1.52381,1.522391,1.7494,2.2265,0.000931,3,persistent
BIRD,2024-09-05,1,19,0.052632,0.052923,0.1108,0.2132,0.005526,1,persistent
BITI,2024-11-07,1,5,0.2,0.196862,0.0444,0.256,0.015815,1,persistent
BITS,2023-02-16,2,3,0.666667,0.664677,1.0,1.0,0.00299,42,persistent
BITU,2024-08-05,11,7,1.571429,1.571348,0.7341,0.747,5.1e-05,3,persistent
BITX,2024-08-05,25,16,1.5625,1.560562,0.9437,0.9048,0.001241,3,persistent
BIVI,2024-08-06,3,25,0.12,0.119959,0.1547,0.1051,0.00034,1,persistent
BIVI,2025-07-07,9,80,0.1125,0.112791,3.814,0.1846,0.002581,4,persistent
BIVIW,2025-11-19,10,7,1.428571,1.425,1.41,1.6667,0.002503,19,persistent
BIVIW,2026-07-10,4,11,0.363636,0.363636,1.0834,0.8689,0.0,94,persistent
BIYA,2025-06-10,25,14,1.785714,1.782979,2.6973,1.66,0.001533,1,persistent
BIYA,2025-12-31,1,20,0.05,0.049896,0.045,0.0162,0.002091,2,persistent
BIYA,2026-07-13,3,32,0.09375,0.093194,0.0081,0.031,0.005947,3,persistent
BJDX,2023-03-31,3,2,1.5,1.493134,0.6757,1.3514,0.004588,14,persistent
BKCH,2022-12-22,9,32,0.28125,0.28271,0.0739,0.8621,0.005179,6,persistent
BKKT,2024-04-29,3,70,0.042857,0.042978,0.0676,0.1825,0.002828,3,persistent
BKKT WS,2023-08-01,11,16,0.6875,0.688028,0.3107,0.9404,0.000767,1,bad-open-print
BKNG,2026-04-06,25,1,25.0,25.05603,24.3095,23.0826,0.002239,4,persistent
BKSY,2024-09-09,1,8,0.125,0.124639,0.59,0.8637,0.002893,3,persistent
BKSY WS,2022-01-14,16,23,0.695652,0.695455,0.6163,0.4451,0.000284,1,persistent
BKSY WS,2022-03-17,13,20,0.65,0.648968,0.8637,0.5885,0.00159,1,bad-open-print
BKSY WS,2025-02-25,21,32,0.65625,0.659026,0.6044,0.3632,0.004221,1,bad-open-print
BKT,2022-10-18,1,3,0.333333,0.331654,0.2155,0.9783,0.005051,1,persistent
BKTI,2023-04-24,13,64,0.203125,0.204829,1.1877,0.0077,0.008352,4,persistent
BKYI,2023-02-13,2,3,0.666667,0.670766,1.0,1.0,0.00613,47,persistent
BKYI,2023-09-26,16,11,1.454545,1.4578,0.7,2.03,0.002235,60,persistent
BKYI,2023-12-21,2,35,0.057143,0.056466,0.2857,0.2113,0.011908,1,persistent
BKYI,2026-04-30,3,31,0.096774,0.09817,0.1293,0.1067,0.014322,1,persistent
BLBX,2022-09-01,27,19,1.421053,1.42268,1.52,1.0,0.001145,14,persistent
BLCM,2022-06-07,7,5,1.4,1.401709,1.0,1.0,0.00122,21,persistent
BLCM,2023-05-08,13,32,0.40625,0.40616,925.1996,0.8043,0.000222,5,persistent
BLIN,2022-05-12,14,9,1.555556,1.553571,0.7105,0.7105,0.001276,22,persistent
BLIV,2025-07-30,10,7,1.428571,1.430435,2.0,1.08,0.001303,19,persistent
BLNGW,2022-05-13,8,5,1.6,1.603424,1.0,1.0,0.002138,11,persistent
BLRX,2025-01-30,1,40,0.025,0.026402,0.2599,0.0472,0.054563,1,persistent
BLSG,2026-05-14,31,22,1.409091,1.408714,1.0,1.3333,0.000268,3,persistent
