symbol,ex_date,event,factor,source,verdict,measured_open,measured_close,persistence
QTI,2025-10-24,REVERSE_SPLIT,0.333333333333,yahoo,ex-date-absent,,,
QTI,2025-10-27,REVERSE_SPLIT,0.2,yahoo,ex-date-absent,,,
QTI,2026-01-28,REVERSE_SPLIT,0.045455,inband,not-corroborated,0.0897,0.0889,persistent
QTT,2021-12-10,REVERSE_SPLIT,0.12,inband,corroborated,0.1067,0.1118,persistent
QTTB,2024-03-26,REVERSE_SPLIT,0.0555555555556,yahoo,no-prev-bar,,,
QUBX,2025-12-02,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1921,0.1999,persistent
QVCGA,2025-05-23,REVERSE_SPLIT,0.02,inband,corroborated,0.0211,0.0245,persistent
QXL,2022-09-06,REVERSE_SPLIT,0.0357142857143,yahoo,ex-date-absent,,,
QXL,2025-03-14,REVERSE_SPLIT,0.25,yahoo,ex-date-absent,,,
QXO,2024-06-06,REVERSE_SPLIT,0.125,yahoo,no-prev-bar,,,
RAAS,2023-03-15,REVERSE_SPLIT,0.342857,inband,corroborated,0.35,0.35,persistent
RAPT,2025-06-17,REVERSE_SPLIT,0.125,inband,corroborated,0.1291,0.1315,persistent
RAY,2025-11-07,REVERSE_SPLIT,0.0625,yahoo,corroborated,0.0738,0.0738,persistent
RAYA,2025-09-30,REVERSE_SPLIT,0.004545,yahoo,not-corroborated,0.008,0.0094,persistent
RAYA,2026-04-20,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1149,0.1099,persistent
RBKB,2026-07-22,FORWARD_SPLIT,1.397,yahoo,corroborated,1.4551,1.4666,persistent
RBNE,2025-12-24,REVERSE_SPLIT,0.2,yahoo,corroborated,0.2212,0.2276,persistent
