symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev
WQGA+,2022-05-25,11,18,0.611111,0.610417,0.7561,0.6492,0.001137
WSC,2022-06-30,4,9,0.444444,0.444409,1.5829,0.9445,7.9e-05
WSM,2024-07-09,2,1,2.0,1.991768,1.5964,1.7389,0.004125
WTER,2023-04-05,2,27,0.074074,0.07375,1.459,0.1992,0.004385
WTMAR,2022-04-29,7,10,0.7,0.704225,0.6944,0.554,0.006018
WTMAR,2022-11-25,18,29,0.62069,0.620604,0.3806,0.4377,0.000138
WTMAR,2024-04-05,3,7,0.428571,0.428112,37.4924,0.5722,0.001072
WTO,2025-03-31,1,9,0.111111,0.110571,0.4627,0.2393,0.004869
WTO,2026-02-17,6,31,0.193548,0.195065,0.39,0.2845,0.007803
WTO,2026-06-22,1,10,0.1,0.098859,0.1199,0.1015,0.011472
XAGE,2025-05-14,1,30,0.033333,0.033404,0.8395,0.19,0.002109
XAIR,2025-07-14,1,19,0.052632,0.051369,0.1368,0.1107,0.02428
XAIR,2026-07-13,1,19,0.052632,0.05219,0.1957,0.1538,0.008421
XBIOW,2021-11-15,12,5,2.4,2.4,2.3529,2.1176,0.0
XBIOW,2021-12-14,14,3,4.666667,4.671145,1.4737,26.3158,0.000959
XBIOW,2022-06-30,13,64,0.203125,0.203046,5.6738,0.0142,0.000391
XBIOW,2022-12-21,100,9,11.111111,11.261261,351.4057,20.6971,0.013423
XBIOW,2023-08-17,28,3,9.333333,9.411765,1.2362,4.1206,0.008368
XBIOW,2024-01-16,32,13,2.461538,2.479008,1.3756,1.3849,0.007072
XBIOW,2024-02-12,22,15,1.466667,1.467514,1.0268,1.279,0.000578
XBP,2025-12-15,2,21,0.095238,0.094718,0.3731,0.2354,0.00548
XCH,2026-08-21,1,19,0.052632,0.052321,0.3332,0.1243,0.00591
XDIV,2025-07-10,25,6,4.166667,4.177848,7.8244,2.024,0.00268
XELA,2022-07-26,1,23,0.043478,0.044348,0.1081,0.0571,0.019803
XELB,2025-03-25,1,12,0.083333,0.082742,1.9598,0.4758,0.007117
XFLT,2026-03-23,1,5,0.2,0.198566,0.4413,0.0532,0.007195
XFOR,2025-04-28,1,29,0.034483,0.034296,0.147,0.1688,0.00543
XHG,2024-11-08,2,35,0.057143,0.056731,0.3783,0.144,0.007238
XHLD,2025-12-02,1,15,0.066667,0.066901,0.3858,0.3466,0.003515
XIN,2022-11-28,3,29,0.103448,0.103889,0.5365,0.6706,0.00425
XLB,2025-12-05,2,1,2.0,1.994364,1.1966,1.7555,0.002822
XLE,2025-12-05,21,11,1.909091,1.909166,1.2644,1.5852,3.9e-05
XLG,2023-07-17,10,1,10.0,9.970704,4.0218,17.0952,0.002934
XLO,2026-03-16,1,13,0.076923,0.077288,0.4643,0.2469,0.004731
XLU,2025-12-05,2,1,2.0,1.999086,1.315,2.0721,0.000457
XOS,2023-12-07,1,28,0.035714,0.035905,0.3237,0.2061,0.005331
XOSWW,2021-12-28,12,7,1.714286,1.717692,1.2322,1.9334,0.001985
XOSWW,2022-02-04,7,5,1.4,1.401832,0.7678,1.7022,0.001308
XPAXW,2022-04-11,32,21,1.52381,1.521232,0.9266,0.7628,0.001693
XPO,2022-11-01,28,17,1.647059,1.649746,2.4687,1.7639,0.00163
XPON,2026-07-21,1,12,0.083333,0.083891,1.2659,0.4938,0.006665
XRPT,2026-02-27,1,18,0.055556,0.054628,0.0178,0.0429,0.016839
XRTX,2023-11-14,9,64,0.140625,0.141631,0.1639,0.4552,0.007128
XRTX,2026-04-06,12,65,0.184615,0.184335,1.2423,0.845,0.001521
XTLB,2026-03-25,1,4,0.25,0.250575,6.0514,0.5611,0.002296
XWEL,2023-09-28,1,16,0.0625,0.062621,1.3721,0.3317,0.00194
XXII,2023-07-05,3,35,0.085714,0.085071,0.1392,0.1978,0.007535
XXII,2025-06-20,1,22,0.045455,0.045187,3.8023,0.3413,0.005911
XXII,2026-01-26,2,31,0.064516,0.063627,0.6879,0.5527,0.013873
XXII,2026-06-12,1,21,0.047619,0.048429,0.4382,0.2014,0.016857
XXRP,2026-06-29,3,31,0.096774,0.097353,0.0191,0.0306,0.005968
XYLO,2024-08-05,23,64,0.359375,0.358491,0.8953,0.7894,0.002464
XYZY,2025-12-01,13,64,0.203125,0.203099,0.2711,0.0313,0.00013
YANG,2024-11-04,1,18,0.055556,0.054669,0.0187,0.0507,0.016093
YBIT,2025-12-01,21,100,0.21,0.21005,0.0512,0.0344,0.000236
YCBD,2023-04-25,1,31,0.032258,0.03202,0.997,0.4237,0.007407
YCBD,2025-05-07,1,8,0.125,0.1249,1.1723,0.073,0.0008
YGMZ,2024-07-01,4,29,0.137931,0.137872,1.3702,0.4161,0.000426
YHC,2025-04-21,1,35,0.028571,0.028607,0.1614,0.1831,0.001243
YHGJ,2025-10-01,2,19,0.105263,0.105915,1.3965,0.6258,0.006178
YI,2025-01-24,2,19,0.105263,0.10514,0.5774,0.16,0.001169
YINN,2022-05-31,3,65,0.046154,0.046228,0.7908,0.385,0.001596
YJ,2023-06-20,3,32,0.09375,0.094059,0.0508,0.0128,0.003295
YMAT,2026-07-10,14,65,0.215385,0.21533,13.2061,0.3634,0.000255
YMT,2026-05-18,2,29,0.068966,0.068611,0.4708,0.3849,0.005152
YMT,2026-08-27,1,18,0.055556,0.05608,9.995,0.5254,0.009388
YQ,2021-11-17,5,18,0.277778,0.277655,0.9206,0.5482,0.000441
YQ,2023-12-18,3,14,0.214286,0.213976,1.284,0.2643,0.001447
YSG,2024-03-18,1,5,0.2,0.201179,0.2033,0.2361,0.005877
YTEN,2024-05-03,1,24,0.041667,0.040945,0.2953,0.9872,0.017461
YVR,2023-08-07,19,70,0.271429,0.27193,0.3682,0.28,0.001845
YXI,2025-11-21,32,65,0.492308,0.489351,0.1102,0.6885,0.006023
YXT,2026-07-14,3,32,0.09375,0.093407,1.0062,0.2935,0.00367
YYAI,2024-06-27,1,19,0.052632,0.052895,0.1863,0.1518,0.004988
YYAI,2026-05-18,1,40,0.025,0.024095,0.3237,0.2528,0.036882
ZAPP,2024-04-23,3,64,0.046875,0.046914,2.4836,0.7047,0.000823
ZBAI,2025-08-08,4,65,0.061538,0.061529,0.8186,0.108,0.000154
ZCAR,2025-03-24,1,22,0.045455,0.045676,0.3607,0.3477,0.004864
ZCMD,2026-03-02,2,15,0.133333,0.133774,0.4317,0.2419,0.003296
ZDAI,2026-02-19,1,17,0.058824,0.0587,0.2009,0.0726,0.002102
ZEPP,2024-09-16,1,4,0.25,0.250332,1.2223,0.4649,0.001328
ZEST,2023-03-02,15,22,0.681818,0.682128,0.8504,0.6374,0.000455
ZEV,2023-04-28,1,20,0.05,0.051085,0.1259,0.414,0.02147
ZIVO,2023-10-27,4,23,0.173913,0.174424,0.7938,0.5851,0.002932
ZIVOW,2023-08-03,17,26,0.653846,0.653244,0.8368,0.8452,0.000921
ZJYL,2024-02-08,25,2,12.5,12.338592,48.1662,26.0051,0.012997
ZJYL,2026-03-16,1,20,0.05,0.050531,0.2447,0.0506,0.010556
ZJZZT,2022-03-07,27,19,1.421053,1.421053,1.1624,0.6884,0.0
ZJZZT,2022-04-29,27,4,6.75,6.765,0.0008,1.1463,0.00222
ZJZZT,2022-07-18,27,11,2.454545,2.454545,2.3667,2.4758,0.0
ZJZZT,2022-08-22,2,17,0.117647,0.118372,4.59,0.0018,0.006146
ZJZZT,2022-09-08,11,5,2.2,2.2,1.0,1.0,0.0
ZJZZT,2022-09-20,21,10,2.1,2.1,1.0,1.0,0.0
ZJZZT,2022-09-29,9,5,1.8,1.8,1.0,1.0,0.0
ZJZZT,2023-05-30,1,3,0.333333,0.333333,1.046,0.9168,0.0
ZJZZT,2023-06-12,2,5,0.4,0.4,1.0276,0.5053,0.0
ZJZZT,2023-07-31,31,64,0.484375,0.487805,1.9168,0.0009,0.007056
ZJZZT,2023-08-21,2,5,0.4,0.4,83.549,0.0392,0.0
ZJZZT,2023-11-15,11,5,2.2,2.2,1.0,1.0,0.0
ZJZZT,2024-07-08,27,40,0.675,0.676157,0.6257,0.7324,0.001712
ZJZZT,2025-02-10,13,9,1.444444,1.443418,0.9116,1.611,0.000711
ZJZZT,2025-09-02,28,65,0.430769,0.430663,1.4615,0.3635,0.000246
ZJZZT,2025-10-13,17,11,1.545455,1.544004,2.1852,0.7389,0.000939
ZJZZT,2026-01-07,2,5,0.4,0.399042,0.7749,0.6029,0.002397
ZKPW,2026-03-02,32,23,1.391304,1.394422,1.0114,1.6384,0.002239
ZME,2021-12-23,4,27,0.148148,0.148405,4.7813,0.9711,0.001732
ZNB,2026-03-12,1,80,0.0125,0.012356,0.1228,0.3445,0.01155
ZNB,2026-07-27,2,19,0.105263,0.105304,0.4578,0.4043,0.000385
ZOOZ,2026-06-01,1,18,0.055556,0.054524,0.7957,0.1106,0.018738
ZSAN,2022-04-12,1,30,0.033333,0.032915,0.1845,0.0656,0.012642
ZSL,2024-11-07,9,35,0.257143,0.257,0.1131,0.1205,0.000555
ZSL,2026-02-26,1,10,0.1,0.099623,0.189,0.284,0.003777
ZVZZT,2023-02-23,7,17,0.411765,0.4124,0.4028,0.2939,0.001542
ZVZZT,2023-04-13,2,5,0.4,0.398248,0.09,0.1207,0.00439
ZVZZT,2023-04-18,11,28,0.392857,0.392955,0.1163,0.1282,0.000249
ZVZZT,2023-04-20,2,5,0.4,0.396901,0.188,0.2799,0.007777
ZVZZT,2023-04-26,10,21,0.47619,0.47617,4.8469,0.8688,4.3e-05
ZVZZT,2023-05-02,26,17,1.529412,1.529341,0.9829,1.2621,4.6e-05
ZVZZT,2023-05-22,64,27,2.37037,2.367542,3.3455,2.9316,0.001194
ZVZZT,2023-06-01,2,5,0.4,0.397682,0.2306,0.3134,0.005812
ZVZZT,2023-06-02,31,64,0.484375,0.484412,0.1508,0.3569,7.7e-05
ZVZZT,2023-07-11,1,29,0.034483,0.034901,2.6744,0.5891,0.012051
ZVZZT,2023-07-12,3,80,0.0375,0.037818,0.4312,0.4849,0.008457
ZVZZT,2023-07-17,4,27,0.148148,0.146099,0.1645,0.2832,0.013927
ZVZZT,2023-07-20,1,24,0.041667,0.041126,0.1758,0.3995,0.013072
ZVZZT,2023-07-24,9,25,0.36,0.360239,2.5891,0.77,0.000662
ZVZZT,2023-08-03,11,25,0.44,0.439648,0.8324,0.3087,0.0008
ZVZZT,2023-08-28,5,12,0.416667,0.417827,0.1994,0.691,0.002782
ZVZZT,2023-09-14,31,2,15.5,15.666004,1.0507,2.0723,0.010653
ZVZZT,2023-09-15,29,1,29.0,28.569323,0.9905,2.5214,0.014962
ZVZZT,2023-09-21,70,11,6.363636,6.374502,2.4304,1.0472,0.001706
ZVZZT,2023-10-05,3,5,0.6,0.602073,0.2973,0.4328,0.00345
ZVZZT,2023-10-30,7,10,0.7,0.705998,0.3786,0.574,0.008533
ZVZZT,2023-11-10,9,28,0.321429,0.321446,0.743,0.8536,5.4e-05
ZVZZT,2023-11-21,29,65,0.446154,0.446353,0.7318,0.3278,0.000446
ZVZZT,2023-12-18,30,19,1.578947,1.57945,1.1125,1.199,0.000319
ZVZZT,2023-12-19,19,12,1.583333,1.585289,1.8493,0.9294,0.001234
ZVZZT,2024-01-17,10,17,0.588235,0.589052,0.3955,0.596,0.001387
ZVZZT,2024-02-12,11,28,0.392857,0.395094,1.8901,0.5313,0.005678
ZVZZT,2024-04-12,2,1,2.0,1.97,1.1886,1.2023,0.015114
ZVZZT,2024-04-26,31,65,0.476923,0.476569,4.3047,0.8108,0.000743
ZVZZT,2024-05-02,5,3,1.666667,1.669444,2.3323,1.4147,0.001665
ZVZZT,2024-07-26,5,9,0.555556,0.557769,0.3466,0.709,0.003976
ZVZZT,2024-09-11,10,23,0.434783,0.435644,2.0542,0.3697,0.001978
ZVZZT,2024-09-25,64,13,4.923077,4.915271,3.4216,6.1967,0.001587
ZVZZT,2024-10-23,12,1,12.0,12.214778,0.2412,1.5636,0.01774
ZVZZT,2024-10-28,7,1,7.0,6.979208,0.5164,1.1723,0.002975
ZVZZT,2024-12-19,2,5,0.4,0.397772,0.4191,0.1978,0.005584
ZVZZT,2025-01-10,27,4,6.75,6.729703,1.5422,2.4999,0.003011
ZVZZT,2025-01-13,35,11,3.181818,3.178218,4.4126,2.1586,0.001132
ZVZZT,2025-01-27,100,11,9.090909,9.09505,0.9658,6.0878,0.000455
ZVZZT,2025-01-28,100,11,9.090909,9.094059,3.4243,6.0878,0.000346
ZVZZT,2025-01-30,16,3,5.333333,5.322772,5.1309,3.129,0.001982
ZVZZT,2025-01-31,27,4,6.75,6.814851,2.7218,1.2435,0.009562
ZVZZT,2025-02-10,32,23,1.391304,1.394059,1.1028,0.9245,0.001978
ZVZZT,2025-02-26,25,2,12.5,12.475248,0.3789,1.8116,0.001982
ZVZZT,2025-02-27,40,17,2.352941,2.355446,2.2515,1.1631,0.001064
ZVZZT,2025-03-14,10,1,10.0,9.90099,46.2683,5.6877,0.00995
ZVZZT,2025-03-17,19,3,6.333333,6.336634,0.9238,5.6877,0.000521
ZVZZT,2025-03-24,7,10,0.7,0.70297,1.0593,0.3364,0.004234
ZVZZT,2025-04-16,64,13,4.923077,4.945545,0.4532,1.5692,0.004553
ZVZZT,2025-04-17,32,5,6.4,6.445545,3.899,1.6787,0.007091
ZVZZT,2025-04-23,27,4,6.75,6.850495,0.5738,2.4216,0.014778
ZVZZT,2025-04-25,5,2,2.5,2.490099,2.6616,3.4691,0.003968
ZVZZT,2025-04-29,20,13,1.538462,1.536634,1.6577,0.8695,0.001189
ZVZZT,2025-05-09,80,11,7.272727,7.266337,0.8193,1.0817,0.000879
ZVZZT,2025-05-30,20,13,1.538462,1.536634,1.301,1.1196,0.001189
ZVZZT,2025-06-03,6,1,6.0,5.988119,1.2504,1.7285,0.001982
ZVZZT,2025-06-06,18,5,3.6,3.589109,2.715,1.7285,0.00303
ZVZZT,2025-06-18,29,7,4.142857,4.132673,0.887,1.3335,0.002461
ZVZZT,2025-07-15,23,15,1.533333,1.534653,0.8015,1.6129,0.000861
ZVZZT,2025-07-21,22,3,7.333333,7.336634,3.4703,2.2174,0.00045
ZVZZT,2025-07-22,80,9,8.888889,8.872277,1.5604,3.9883,0.001871
ZVZZT,2025-07-28,22,1,22.0,22.252475,0.2658,1.0136,0.011411
ZVZZT,2025-08-08,32,3,10.666667,10.675248,0.4956,3.2801,0.000804
ZVZZT,2025-09-04,32,13,2.461538,2.475248,3.7903,2.3012,0.005554
ZVZZT,2025-09-11,80,27,2.962963,2.970297,3.4051,1.822,0.002472
ZVZZT,2025-10-13,25,3,8.333333,8.338614,0.863,1.1853,0.000633
ZVZZT,2025-10-14,31,16,1.9375,1.964356,1.2598,1.9795,0.013766
ZVZZT,2025-10-16,70,17,4.117647,4.10396,1.7493,2.0314,0.003329
ZVZZT,2025-11-06,31,16,1.9375,1.961386,1.3642,2.2774,0.012253
ZVZZT,2025-11-14,3,1,3.0,3.015842,2.6792,1.5028,0.005267
ZVZZT,2025-12-12,64,29,2.206897,2.208911,1.8679,1.0135,0.000912
ZVZZT,2026-01-23,10,3,3.333333,3.316832,2.2562,4.5979,0.004963
ZVZZT,2026-02-10,40,27,1.481481,1.485149,1.0083,0.8128,0.002472
ZVZZT,2026-03-30,32,65,0.492308,0.49505,0.3192,0.596,0.005554
ZVZZT,2026-04-20,7,5,1.4,1.39604,0.7285,0.9435,0.002833
ZVZZT,2026-06-03,26,5,5.2,5.208911,1.1345,1.8358,0.001712
ZVZZT,2026-06-25,27,17,1.588235,1.590099,0.7567,1.8894,0.001173
ZVZZT,2026-07-06,29,18,1.611111,1.607921,2.0489,0.9769,0.001982
ZVZZT,2026-07-22,3,1,3.0,2.987129,3.8352,1.6597,0.0043
ZVZZT,2026-08-10,80,21,3.809524,3.813861,5.1431,2.09,0.001138
ZVZZT,2026-08-11,65,17,3.823529,3.816832,1.9468,2.4372,0.001753
ZVZZT,2026-08-20,35,2,17.5,17.742574,0.6143,1.2469,0.013766
ZVZZT,2026-08-25,27,4,6.75,6.778218,3.0887,1.1421,0.004172
ZWZZT,2021-12-06,7,5,1.4,1.4,1.1369,1.9168,0.0
ZWZZT,2022-06-06,15,31,0.483871,0.484074,3.059,0.4186,0.00042
ZWZZT,2022-06-21,11,25,0.44,0.440741,0.3801,0.4468,0.001682
ZWZZT,2022-08-22,1,6,0.166667,0.166667,2.2732,0.0541,0.0
ZWZZT,2022-10-17,31,19,1.631579,1.62963,1.7107,1.6474,0.001195
ZWZZT,2022-12-19,21,11,1.909091,1.909091,1.0661,1.4294,0.0
ZWZZT,2023-07-10,9,35,0.257143,0.2548,3.4291,0.0015,0.009153
ZWZZT,2023-08-16,1,4,0.25,0.250188,0.9732,0.4866,0.00075
ZWZZT,2023-12-04,50,11,4.545455,4.54,120.5121,3.0462,0.001201
ZWZZT,2024-01-02,27,10,2.7,2.7,3.0303,1.8182,0.0
ZWZZT,2024-01-29,100,27,3.703704,3.708292,3.2571,1.8291,0.001238
ZWZZT,2024-02-05,30,7,4.285714,4.3,2.8571,1.8291,0.003328
ZWZZT,2024-03-25,5,2,2.5,2.481818,2.1219,2.0485,0.007299
ZWZZT,2024-04-15,4,11,0.363636,0.364,1.1007,0.5592,0.001
ZWZZT,2024-08-12,19,70,0.271429,0.271318,2.1288,0.0226,0.000408
ZWZZT,2024-08-26,2,25,0.08,0.07971,6.3153,0.0272,0.00363
ZWZZT,2024-09-16,18,1,18.0,17.749333,35.2991,2.0541,0.014024
ZWZZT,2024-09-30,12,25,0.48,0.48,39.8288,0.1604,0.0
ZWZZT,2025-05-27,32,65,0.492308,0.491373,4.3174,0.1185,0.001901
ZWZZT,2025-06-06,100,7,14.285714,14.285714,0.0236,1.0758,0.0
ZWZZT,2025-06-13,100,7,14.285714,14.285714,0.3135,2.0359,0.0
ZWZZT,2025-09-02,13,29,0.448276,0.447828,1.239,0.0163,0.001
ZWZZT,2026-01-12,5,9,0.555556,0.555857,0.391,0.3111,0.000542
ZWZZT,2026-02-02,29,13,2.230769,2.232,1.4808,2.2687,0.000552
ZXZZT,2021-12-28,27,40,0.675,0.672222,0.9138,0.9753,0.004124
ZXZZT,2022-02-16,9,5,1.8,1.803,1.044,2.2105,0.001665
ZXZZT,2024-02-08,16,65,0.246154,0.246123,0.0008,0.0842,0.000124
ZXZZT,2024-03-08,29,64,0.453125,0.45353,1.6578,0.591,0.000894
ZXZZT,2025-03-24,27,40,0.675,0.67518,0.4477,0.6406,0.000267
ZXZZT,2025-05-12,19,11,1.727273,1.726974,1.6239,1.2,0.000173
ZXZZT,2025-12-10,27,40,0.675,0.674625,0.3077,0.5462,0.000555
ZXZZT,2026-01-29,31,64,0.484375,0.485646,5.7328,0.5114,0.00262
ZXZZT,2026-04-15,7,5,1.4,1.404,1.3865,0.6898,0.002853
ZXZZT,2026-07-06,3,29,0.103448,0.103483,228.5091,0.2727,0.000332
