symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev
TOPS,2022-09-23,1,16,0.0625,0.0625,7.3164,0.6713,0.0
TOPS,2023-09-29,3,35,0.085714,0.085571,0.8066,0.2112,0.001668
TOPW,2026-03-23,7,23,0.304348,0.303161,0.0112,0.0238,0.003907
TOUR,2026-04-22,9,80,0.1125,0.11219,5.7054,0.2816,0.002762
TPL,2024-03-27,70,23,3.043478,3.040878,3.9692,4.3748,0.000855
TPL,2025-12-23,80,27,2.962963,2.96646,2.1637,1.4274,0.001179
TPST,2025-04-09,1,12,0.083333,0.083333,0.4193,0.1582,0.0
TQQQ,2022-01-13,2,1,2.0,1.998952,1.0661,1.055,0.000524
TQQQ,2025-11-20,2,1,2.0,1.996375,2.1172,0.9412,0.001814
TRAQ+,2022-06-21,18,31,0.580645,0.581395,0.8421,0.6316,0.001291
TRAW,2024-09-23,1,25,0.04,0.039706,1.652,0.8109,0.00738
TRIB,2024-02-23,3,16,0.1875,0.188151,1.0521,0.6019,0.003467
TRIB,2026-07-24,1,27,0.037037,0.036459,0.0366,0.1213,0.015727
TRIS+,2022-08-05,8,17,0.470588,0.4712,1.6667,0.6667,0.001299
TRKA,2023-06-01,1,26,0.038462,0.038567,0.339,0.0636,0.00274
TRNR,2025-06-27,1,10,0.1,0.10076,0.6142,0.373,0.007575
TRNR,2026-02-24,3,29,0.103448,0.1033,1.4312,0.7172,0.001434
TRNR,2026-06-30,2,13,0.153846,0.153821,0.4627,0.3754,0.000167
TRONW,2021-10-07,21,32,0.65625,0.658559,0.4567,0.6342,0.003512
TRTL+,2021-11-01,31,21,1.47619,1.475728,2.1818,2.2836,0.000313
TRTL+,2022-09-27,17,10,1.7,1.69871,1.875,1.25,0.000759
TRUG,2025-06-23,1,32,0.03125,0.03163,0.2607,0.0444,0.012092
TRVG,2023-11-17,1,5,0.2,0.2007,0.4811,0.3166,0.003494
TRVN,2024-08-13,1,25,0.04,0.040698,0.4776,0.1509,0.017291
TSCO,2024-12-20,64,13,4.923077,4.931196,11.4752,3.5809,0.001648
TSDD,2025-01-13,1,20,0.05,0.050073,0.0236,0.0599,0.001463
TSIB,2026-07-31,9,22,0.409091,0.40935,0.0431,0.0431,0.000632
TSLA,2022-08-25,50,17,2.941176,2.946773,2.5161,2.3711,0.001901
TSLQ,2024-11-27,3,17,0.176471,0.176083,0.1032,0.1818,0.0022
TSLQ,2025-10-21,1,3,0.333333,0.334064,0.2661,0.7248,0.00219
TSLS,2026-03-10,1,10,0.1,0.101044,0.0429,0.0269,0.010387
TSLY,2025-12-01,13,64,0.203125,0.202309,0.1038,0.2973,0.004025
TSLZ,2025-10-29,1,20,0.05,0.050796,0.2452,0.3189,0.015791
TSYY,2026-06-02,3,22,0.136364,0.135555,0.6954,0.6212,0.005951
